series,year,period,period_name,value
elpaso_total_employment,2019,M05,May,231553.0
elpaso_total_employment,2019,M04,April,228853.0
elpaso_total_employment,2019,M03,March,225489.0
elpaso_total_employment,2019,M02,February,225501.0
elpaso_total_employment,2019,M01,January,224711.0
denver_total_avg_weekly_wage,2024,Q04,4th Quarter,2030.0
denver_total_avg_weekly_wage,2024,Q03,3rd Quarter,1873.0
denver_total_avg_weekly_wage,2024,Q02,2nd Quarter,1923.0
denver_total_avg_weekly_wage,2024,Q01,1st Quarter,2199.0
denver_total_avg_weekly_wage,2023,Q04,4th Quarter,1904.0
denver_total_avg_weekly_wage,2023,Q03,3rd Quarter,1761.0
denver_total_avg_weekly_wage,2023,Q02,2nd Quarter,1782.0
denver_total_avg_weekly_wage,2023,Q01,1st Quarter,2083.0
denver_total_avg_weekly_wage,2022,Q04,4th Quarter,1831.0
denver_total_avg_weekly_wage,2022,Q03,3rd Quarter,1759.0
denver_total_avg_weekly_wage,2022,Q02,2nd Quarter,1737.0
denver_total_avg_weekly_wage,2022,Q01,1st Quarter,1952.0
denver_total_avg_weekly_wage,2021,Q04,4th Quarter,1851.0
denver_total_avg_weekly_wage,2021,Q03,3rd Quarter,1616.0
denver_total_avg_weekly_wage,2021,Q02,2nd Quarter,1626.0
denver_total_avg_weekly_wage,2021,Q01,1st Quarter,1823.0
denver_total_avg_weekly_wage,2020,Q04,4th Quarter,1712.0
denver_total_avg_weekly_wage,2020,Q03,3rd Quarter,1518.0
denver_total_avg_weekly_wage,2020,Q02,2nd Quarter,1508.0
denver_total_avg_weekly_wage,2020,Q01,1st Quarter,1666.0
denver_total_avg_weekly_wage,2019,Q04,4th Quarter,1463.0
denver_total_avg_weekly_wage,2019,Q03,3rd Quarter,1364.0
denver_total_avg_weekly_wage,2019,Q02,2nd Quarter,1348.0
denver_total_avg_weekly_wage,2019,Q01,1st Quarter,1574.0
denver_total_employment,2024,M12,December,488699.0
denver_total_employment,2024,M11,November,489881.0
denver_total_employment,2024,M10,October,491686.0
denver_total_employment,2024,M09,September,491500.0
denver_total_employment,2024,M08,August,494029.0
denver_total_employment,2024,M07,July,494079.0
denver_total_employment,2024,M06,June,492989.0
denver_total_employment,2024,M05,May,493820.0
denver_total_employment,2024,M04,April,493149.0
denver_total_employment,2024,M03,March,486490.0
denver_total_employment,2024,M02,February,487291.0
denver_total_employment,2024,M01,January,486772.0
denver_total_employment,2023,M12,December,497299.0
denver_total_employment,2023,M11,November,499162.0
denver_total_employment,2023,M10,October,499615.0
denver_total_employment,2023,M09,September,494517.0
denver_total_employment,2023,M08,August,498202.0
denver_total_employment,2023,M07,July,498165.0
denver_total_employment,2023,M06,June,501513.0
denver_total_employment,2023,M05,May,497853.0
denver_total_employment,2023,M04,April,495680.0
denver_total_employment,2023,M03,March,490747.0
denver_total_employment,2023,M02,February,489533.0
denver_total_employment,2023,M01,January,487463.0
denver_total_employment,2022,M12,December,493530.0
denver_total_employment,2022,M11,November,495854.0
denver_total_employment,2022,M10,October,495288.0
denver_total_employment,2022,M09,September,491057.0
denver_total_employment,2022,M08,August,494143.0
denver_total_employment,2022,M07,July,492282.0
denver_total_employment,2022,M06,June,487562.0
denver_total_employment,2022,M05,May,486932.0
denver_total_employment,2022,M04,April,483949.0
denver_total_employment,2022,M03,March,474914.0
denver_total_employment,2022,M02,February,472282.0
denver_total_employment,2022,M01,January,469154.0
denver_total_employment,2021,M12,December,470303.0
denver_total_employment,2021,M11,November,469541.0
denver_total_employment,2021,M10,October,466154.0
denver_total_employment,2021,M09,September,458199.0
denver_total_employment,2021,M08,August,458846.0
denver_total_employment,2021,M07,July,456424.0
denver_total_employment,2021,M06,June,449325.0
denver_total_employment,2021,M05,May,442939.0
denver_total_employment,2021,M04,April,437946.0
denver_total_employment,2021,M03,March,429220.0
denver_total_employment,2021,M02,February,425764.0
denver_total_employment,2021,M01,January,419626.0
denver_total_employment,2020,M12,December,417675.0
denver_total_employment,2020,M11,November,422522.0
denver_total_employment,2020,M10,October,422496.0
denver_total_employment,2020,M09,September,415146.0
denver_total_employment,2020,M08,August,414146.0
denver_total_employment,2020,M07,July,409644.0
denver_total_employment,2020,M06,June,404406.0
denver_total_employment,2020,M05,May,394174.0
denver_total_employment,2020,M04,April,387993.0
denver_total_employment,2020,M03,March,460298.0
denver_total_employment,2020,M02,February,463420.0
denver_total_employment,2020,M01,January,462061.0
denver_total_employment,2019,M12,December,465825.0
denver_total_employment,2019,M11,November,466302.0
denver_total_employment,2019,M10,October,466145.0
denver_total_employment,2019,M09,September,463716.0
denver_total_employment,2019,M08,August,465792.0
denver_total_employment,2019,M07,July,464300.0
denver_total_employment,2019,M06,June,462718.0
denver_total_employment,2019,M05,May,457352.0
denver_total_employment,2019,M04,April,455239.0
denver_total_employment,2019,M03,March,449487.0
denver_total_employment,2019,M02,February,448224.0
denver_total_employment,2019,M01,January,446423.0
