Permit Number,Year,Zipcode,City,Jurisdiction
Q27510,2026,80925,Colorado Springs,Colorado Springs
Q27513,2026,80106,Elbert,El Paso County
Q27587,2026,80904,Colorado Springs,Colorado Springs
Q27618,2026,80925,Colorado Springs,Colorado Springs
Q27619,2026,80925,Colorado Springs,Colorado Springs
Q27623,2026,80925,Colorado Springs,Colorado Springs
Q27714,2026,80908,Colorado Springs,Colorado Springs
Q27717,2026,80132,Monument,El Paso County / Monument
Q27718,2026,80921,Colorado Springs,Colorado Springs
Q27719,2026,80922,Colorado Springs,Colorado Springs
Q27721,2026,80922,Colorado Springs,Colorado Springs
Q27723,2026,80922,Colorado Springs,Colorado Springs
Q27728,2026,80922,Colorado Springs,Colorado Springs
Q27736,2026,80922,Colorado Springs,Colorado Springs
Q27738,2026,80908,Colorado Springs,Colorado Springs
Q27741,2026,80924,Colorado Springs,Colorado Springs
Q27760,2026,80831,Peyton,El Paso County
Q27768,2026,80831,Peyton,El Paso County
Q27795,2026,80908,Colorado Springs,Colorado Springs
Q27796,2026,80908,Colorado Springs,Colorado Springs
Q27832,2026,80925,Colorado Springs,Colorado Springs
Q27834,2026,80925,Colorado Springs,Colorado Springs
Q27836,2026,80925,Colorado Springs,Colorado Springs
Q27842,2026,80925,Colorado Springs,Colorado Springs
Q27846,2026,80915,Colorado Springs,Colorado Springs
Q27848,2026,80915,Colorado Springs,Colorado Springs
Q27849,2026,80915,Colorado Springs,Colorado Springs
Q27926,2026,80915,Colorado Springs,Colorado Springs
Q27928,2026,80915,Colorado Springs,Colorado Springs
Q27930,2026,80927,Colorado Springs,Colorado Springs
Q27932,2026,80927,Colorado Springs,Colorado Springs
Q27934,2026,80915,Colorado Springs,Colorado Springs
Q27936,2026,80927,Colorado Springs,Colorado Springs
Q27938,2026,80915,Colorado Springs,Colorado Springs
Q27994,2026,80924,Colorado Springs,Colorado Springs
Q28001,2026,80831,Peyton,El Paso County
Q28003,2026,80904,Colorado Springs,Colorado Springs
Q28004,2026,80904,Colorado Springs,Colorado Springs
Q28005,2026,80904,Colorado Springs,Colorado Springs
Q28006,2026,80904,Colorado Springs,Colorado Springs
Q28017,2026,80922,Colorado Springs,Colorado Springs
Q28019,2026,80922,Colorado Springs,Colorado Springs
Q28310,2026,80808,Calhan,El Paso County
Q28476,2026,80831,Peyton,El Paso County
Q28489,2026,80831,Peyton,El Paso County
Q28536,2026,80904,Colorado Springs,Colorado Springs
Q28625,2026,80925,Colorado Springs,Colorado Springs
Q28628,2026,80925,Colorado Springs,Colorado Springs
Q28630,2026,80925,Colorado Springs,Colorado Springs
Q28631,2026,80132,Monument,El Paso County / Monument
Q28632,2026,80132,Monument,El Paso County / Monument
Q28635,2026,80924,Colorado Springs,Colorado Springs
Q28645,2026,80132,Monument,El Paso County / Monument
Q28655,2026,80908,Colorado Springs,Colorado Springs
Q28656,2026,80132,Monument,El Paso County / Monument
Q28684,2026,80908,Colorado Springs,Colorado Springs
Q28724,2026,80831,Peyton,El Paso County
Q28726,2026,80831,Peyton,El Paso County
Q28835,2026,80917,Colorado Springs,Colorado Springs
Q28848,2026,80924,Colorado Springs,Colorado Springs
Q28849,2026,80924,Colorado Springs,Colorado Springs
Q28850,2026,80924,Colorado Springs,Colorado Springs
Q28851,2026,80924,Colorado Springs,Colorado Springs
Q28854,2026,80924,Colorado Springs,Colorado Springs
Q28855,2026,80924,Colorado Springs,Colorado Springs
Q28856,2026,80924,Colorado Springs,Colorado Springs
Q28857,2026,80924,Colorado Springs,Colorado Springs
Q28860,2026,80924,Colorado Springs,Colorado Springs
Q28862,2026,80924,Colorado Springs,Colorado Springs
Q28864,2026,80924,Colorado Springs,Colorado Springs
Q28865,2026,80924,Colorado Springs,Colorado Springs
Q28867,2026,80924,Colorado Springs,Colorado Springs
Q28868,2026,80924,Colorado Springs,Colorado Springs
Q28870,2026,80924,Colorado Springs,Colorado Springs
Q28872,2026,80924,Colorado Springs,Colorado Springs
Q28873,2026,80924,Colorado Springs,Colorado Springs
Q28905,2026,80924,Colorado Springs,Colorado Springs
Q28911,2026,80924,Colorado Springs,Colorado Springs
Q28914,2026,80831,Peyton,El Paso County
Q28917,2026,80132,Monument,El Paso County / Monument
